"size_bits","prime"
"14","10477"
"14","10487"
"14","10499"
"14","10501"
"14","10513"
"14","10529"
"14","10531"
"14","10559"
"14","10567"
"14","10589"
"14","10597"
"14","10601"
"14","10607"
"14","10613"
"14","10627"
"14","10631"
"14","10639"
"14","10651"
"14","10657"
"14","10663"
"14","10667"
"14","10687"
"14","10691"
"14","10709"
"14","10711"
"14","10723"
"14","10729"
"14","10733"
"14","10739"
"14","10753"
"14","10771"
"14","10781"
"14","10789"
"14","10799"
"14","10831"
"14","10837"
"14","10847"
"14","10853"
"14","10859"
"14","10861"
"14","10867"
"14","10883"
"14","10889"
"14","10891"
"14","10903"
"14","10909"
"14","10937"
"14","10939"
"14","10949"
"14","10957"
"14","10973"
"14","10979"
"14","10987"
"14","10993"
"14","11003"
"14","11027"
"14","11047"
"14","11057"
"14","11059"
"14","11069"
"14","11071"
"14","11083"
"14","11087"
"14","11093"
"14","11113"
"14","11117"
"14","11119"
"14","11131"
"14","11149"
"14","11159"
"14","11161"
"14","11171"
"14","11173"
"14","11177"
"14","11197"
"14","11213"
"14","11239"
"14","11243"
"14","11251"
"14","11257"
"14","11261"
"14","11273"
"14","11279"
"14","11287"
"14","11299"
"14","11311"
"14","11317"
"14","11321"
"14","11329"
"14","11351"
"14","11353"
"14","11369"
"14","11383"
"14","11393"
"14","11399"
"14","11411"
"14","11423"
"14","11437"
"14","11443"
"14","11447"
"14","11467"
"14","11471"
"14","11483"
"14","11489"
"14","11491"
"14","11497"
"14","11503"
"14","11519"
"14","11527"
"14","11549"
"14","11551"
"14","11579"
"14","11587"
"14","11593"
"14","11597"
"14","11617"
"14","11621"
"14","11633"
"14","11657"
"14","11677"
"14","11681"
"14","11689"
"14","11699"
"14","11701"
"14","11717"
"14","11719"
"14","11731"
"14","11743"
"14","11777"
"14","11779"
"14","11783"
"14","11789"
"14","11801"
"14","11807"
"14","11813"
"14","11821"
"14","11827"
"14","11831"
"14","11833"
"14","11839"
"14","11863"
"14","11867"
"14","11887"
"14","11897"
"14","11903"
"14","11909"
"14","11923"
"14","11927"
"14","11933"
"14","11939"
"14","11941"
"14","11953"
"14","11959"
"14","11969"
"14","11971"
"14","11981"
"14","11987"
"14","12007"
"14","12011"
"14","12037"
"14","12041"
"14","12043"
"14","12049"
"14","12071"
"14","12073"
"14","12097"
"14","12101"
"14","12107"
"14","12109"
"14","12113"
"14","12119"
"14","12143"
"14","12149"
"14","12157"
"14","12161"
"14","12163"
"14","12197"
"14","12203"
"14","12211"
"14","12227"
"14","12239"
"14","12241"
"14","12251"
"14","12253"
"14","12263"
"14","12269"
"14","12277"
"14","12281"
"14","12289"
"14","12301"
"14","12323"
"14","12329"
"14","12343"
"14","12347"
"14","12373"
"14","12377"
"14","12379"
"14","12391"
"14","12401"
"14","12409"
"14","12413"
"14","12421"
"14","12433"
"14","12437"
"14","12451"
"14","12457"
"14","12473"
"14","12479"
"14","12487"
"14","12491"
"14","12497"
"14","12503"
"14","12511"
"14","12517"
"14","12527"
"14","12539"
"14","12541"
"14","12547"
"14","12553"
"14","12569"
"14","12577"
"14","12583"
"14","12589"
"14","12601"
"14","12611"
"14","12613"
"14","12619"
"14","12637"
"14","12641"
"14","12647"
"14","12653"
"14","12659"
"14","12671"
"14","12689"
"14","12697"
"14","12703"
"14","12713"
"14","12721"
"14","12739"
"14","12743"
"14","12757"
"14","12763"
"14","12781"
"14","12791"
"14","12799"
"14","12809"
"14","12821"
"14","12823"
"14","12829"
"14","12841"
"14","12853"
"14","12889"
"14","12893"
"14","12899"
"14","12907"
"14","12911"
"14","12917"
"14","12919"
"14","12923"
"14","12941"
"14","12953"
"14","12959"
"14","12967"
"14","12973"
"14","12979"
"14","12983"
"14","13001"
"14","13003"
"14","13007"
"14","13009"
"14","13033"
"14","13037"
"14","13043"
"14","13049"
"14","13063"
"14","13093"
"14","13099"
"14","13103"
"14","13109"
"14","13121"
"14","13127"
"14","13147"
"14","13151"
"14","13159"
"14","13163"
"14","13171"
"14","13177"
"14","13183"
"14","13187"
"14","13217"
